id_str,created_at,from_user,text,CLEAN,Hashtags,TARGET
519040186010042000,Mon Oct 06 08:23:18 +0000 2014,AMCSTI,#RencNum L'offre éducative du @centrepompidou investira le portail Eduthéque : ressources pédagogiques http://t.co/sc78aaQUA6,#RencNum L offre éducative du @centrepompidou investira le portail Eduthéque   ressources pédagogiques http   t co sc78aaQUA6,#RencNum , @centrepompidou 
519040173116772000,Mon Oct 06 08:23:15 +0000 2014,Cleliadh,Les #RSN recueillent de l'information et servent a échanger avec les publics rappelle @gonzagauthier #RencNum,Les #RSN recueillent de l information et servent a échanger avec les publics rappelle @gonzagauthier #RencNum, #RSN #RencNum, @gonzagauthier 
519040156339560000,Mon Oct 06 08:23:11 +0000 2014,Loic_Laborde,"RT @Chabadie: Adoption d'un usage, de technos, peuvent pas être prédites. ""Paradoxalement"", on est dans du temps long. #RencNum",RT @Chabadie  Adoption d un usage  de technos  peuvent pas être prédites   Paradoxalement   on est dans du temps long  #RencNum, #RencNum, @Chabadie 
519040145266590000,Mon Oct 06 08:23:08 +0000 2014,sebdaniel,"#RencNum @gonzagauthier ""Les RSN servent à diffuser de l'info mais aussi en recueillir / prendre le poux comme on le ferait avec enquêtes""",#RencNum @gonzagauthier  Les RSN servent à diffuser de l info mais aussi en recueillir   prendre le poux comme on le ferait avec enquêtes ,#RencNum , @gonzagauthier 
519040105357791000,Mon Oct 06 08:22:59 +0000 2014,JandCom,"RT @Ne10: A suivre aujourd'hui et demain #RencNum au @centrepompidou ""Médiation &amp; numérique dans les équipements culturels"" — http://t.co/A…",RT @Ne10  A suivre aujourd hui et demain #RencNum au @centrepompidou  Médiation &amp  numérique dans les équipements culturels  — http   t co A…, #RencNum , @Ne10 @centrepompidou 
519040105013858000,Mon Oct 06 08:22:59 +0000 2014,Dilvich,"RT @sebdaniel: #RencNum @gonzagauthier ""La mission des musées c'est aussi de prescrire des usages numériques""",RT @sebdaniel  #RencNum @gonzagauthier  La mission des musées c est aussi de prescrire des usages numériques , #RencNum , @sebdaniel @gonzagauthier 
519040046968873000,Mon Oct 06 08:22:45 +0000 2014,seeksanusername,"Selon @gonzagauthier, le musée doit être également prescripteur des usages numériques #RencNum",Selon @gonzagauthier  le musée doit être également prescripteur des usages numériques #RencNum, #RencNum, @gonzagauthier 
519040018208526000,Mon Oct 06 08:22:38 +0000 2014,ClaireChickly,RT @Cleliadh: L'institution a aussi un rôle de prescripteur ; anticipe les usages #RencNum,RT @Cleliadh  L institution a aussi un rôle de prescripteur   anticipe les usages #RencNum, #RencNum, @Cleliadh 
519039950025925000,Mon Oct 06 08:22:22 +0000 2014,Cleliadh,L'institution a aussi un rôle de prescripteur ; anticipe les usages #RencNum,L institution a aussi un rôle de prescripteur   anticipe les usages #RencNum, #RencNum, 
519039939041067000,Mon Oct 06 08:22:19 +0000 2014,sebdaniel,"#RencNum @gonzagauthier ""La mission des musées c'est aussi de prescrire des usages numériques""",#RencNum @gonzagauthier  La mission des musées c est aussi de prescrire des usages numériques ,#RencNum , @gonzagauthier 
519039919214584000,Mon Oct 06 08:22:14 +0000 2014,nviscogliosi,#RencNum  : innovation technologique ou sociale?,#RencNum    innovation technologique ou sociale ,#RencNum , 
519039886608069000,Mon Oct 06 08:22:06 +0000 2014,comcomclaire,".@gonzagauthier interroge cette notion d'innovation revenue déjà plusieurs fois: sociale ou techno, nécessite un temps long #RencNum", @gonzagauthier interroge cette notion d innovation revenue déjà plusieurs fois  sociale ou techno  nécessite un temps long #RencNum, #RencNum, @gonzagauthier 
519039828609229000,Mon Oct 06 08:21:53 +0000 2014,ClaireChickly,"RT @sebdaniel: #RencNum @gonzagauthier ""Le numérique au @centrepompidou est transversal et sert à faire perdurer l'institution, à innover""",RT @sebdaniel  #RencNum @gonzagauthier  Le numérique au @centrepompidou est transversal et sert à faire perdurer l institution  à innover , #RencNum , @sebdaniel @gonzagauthier @centrepompidou 
